DEBUG:root:Training from scratch...
INFO:root:The model will run on cuda
INFO:root:step 0: train loss 4.2570, val loss 4.2614, iteration time 0.0000
INFO:root:step 500: train loss 2.4414, val loss 2.4494, iteration time 0.0291
INFO:root:step 1000: train loss 2.3700, val loss 2.3453, iteration time 0.0300
INFO:root:step 1500: train loss 2.2926, val loss 2.3094, iteration time 0.0305
INFO:root:step 2000: train loss 2.2797, val loss 2.3033, iteration time 0.0333
INFO:root:step 2500: train loss 2.2576, val loss 2.2724, iteration time 0.0337
INFO:root:step 3000: train loss 2.1836, val loss 2.2443, iteration time 0.0388
INFO:root:step 3500: train loss 2.1782, val loss 2.2680, iteration time 0.0329
INFO:root:step 4000: train loss 2.1857, val loss 2.2047, iteration time 0.0332
INFO:root:step 4500: train loss 2.0768, val loss 2.1577, iteration time 0.0333
INFO:root:step 5000: train loss 2.1195, val loss 2.1466, iteration time 0.0334
INFO:root:step 5500: train loss 2.0732, val loss 2.1582, iteration time 0.0342
INFO:root:step 6000: train loss 2.1057, val loss 2.1550, iteration time 0.0339
INFO:root:step 6500: train loss 2.0662, val loss 2.1447, iteration time 0.0317
INFO:root:step 7000: train loss 2.0948, val loss 2.1394, iteration time 0.0336
INFO:root:step 7500: train loss 2.0512, val loss 2.1273, iteration time 0.0332
INFO:root:step 8000: train loss 2.0193, val loss 2.0820, iteration time 0.0331
INFO:root:step 8500: train loss 2.0731, val loss 2.0918, iteration time 0.0337
INFO:root:step 9000: train loss 2.0175, val loss 2.1191, iteration time 0.0342
INFO:root:step 9500: train loss 2.0148, val loss 2.1115, iteration time 0.0333
INFO:root:step 10000: train loss 2.0103, val loss 2.1022, iteration time 0.0332
INFO:root:step 10500: train loss 2.0148, val loss 2.0733, iteration time 0.0328
INFO:root:step 11000: train loss 1.9929, val loss 2.0960, iteration time 0.0315
INFO:root:step 11500: train loss 1.9793, val loss 2.0550, iteration time 0.0344
INFO:root:step 12000: train loss 1.9688, val loss 2.0941, iteration time 0.0336
INFO:root:step 12500: train loss 1.9969, val loss 2.0959, iteration time 0.0332
INFO:root:step 13000: train loss 1.9857, val loss 2.1019, iteration time 0.0332
INFO:root:step 13500: train loss 1.9759, val loss 2.0619, iteration time 0.0331
INFO:root:step 14000: train loss 2.0009, val loss 2.0430, iteration time 0.0332
INFO:root:step 14500: train loss 1.9459, val loss 2.0542, iteration time 0.0330
INFO:root:step 15000: train loss 1.9494, val loss 2.0911, iteration time 0.0340
INFO:root:step 15500: train loss 1.9297, val loss 2.1048, iteration time 0.0334
INFO:root:step 16000: train loss 1.9647, val loss 2.0549, iteration time 0.0337
INFO:root:step 16500: train loss 1.9750, val loss 1.9985, iteration time 0.0374
INFO:root:step 17000: train loss 1.9370, val loss 2.0523, iteration time 0.0331
INFO:root:step 17500: train loss 1.9519, val loss 2.0763, iteration time 0.0332
INFO:root:step 18000: train loss 1.9390, val loss 2.0572, iteration time 0.0343
